Time [s], x [m], y [m], theta [rad], v_rear [m/s], w_rear [rad/s], v_front [m/s], delta [rad]
0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
2.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
3.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
4.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
5.0, 5.0, 0.0, 0.0, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
6.0, 6.0, 0.0, 0.0, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
7.0, 7.0, 0.0, 0.0, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
8.0, 8.0, 0.0, 0.0, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
9.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
11.0, 10.7926239891046, 0.0, 0.6097107608496924, 0.7926239891046001, 0.6097107608496924, 1.2999999999999998, 0.9151007005533603
12.0, 11.442427977878204, 0.4538805616877668, 1.219421521699385, 0.7926239891046001, 0.6097107608496924, 1.2999999999999998, 0.9151007005533603
13.0, 11.71524038643571, 1.1980755481269, 1.5707963267948966, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
14.0, 11.71524038643571, 2.1980755481269, 1.5707963267948966, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
15.0, 11.71524038643571, 3.1980755481269, 1.5707963267948966, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
16.0, 11.71524038643571, 4.1980755481269, 1.5707963267948966, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
17.0, 11.71524038643571, 5.1980755481269, 1.5707963267948966, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
18.0, 11.71524038643571, 6.1980755481269, 1.5707963267948966, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
19.0, 11.71524038643571, 7.1980755481269, 1.5707963267948966, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
20.0, 11.71524038643571, 8.1980755481269, 1.5707963267948966, 1.0, 0.0, 1.633123935319537e+16, 1.5707963267948966
