time, x, y, theta, v_rear, w_rear, v_front, delta
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 0.0295549, 0.0, 0.0, 0.0886646, 0.0, 0.0886646, 0.0
2.0, 0.216223, 0.0, 0.0, 0.267936, 0.0, 0.267936, 0.0
3.0, 0.509796, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
4.0, 0.809796, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
5.0, 1.1098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
6.0, 1.4098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
7.0, 1.7098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
8.0, 2.0098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
9.0, 2.3098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
10.0, 2.6098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
11.0, 2.9098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
12.0, 3.2098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
13.0, 3.5098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
14.0, 3.8098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
15.0, 4.1098, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0
16.0, 4.48636, 0.0151348, 0.151596, 0.29999962407478115, 0.303193, 0.37495668185045417, 0.4917527264032357
17.0, 4.76536, 0.118129, 0.606386, 0.2999998218266138, 0.606386, 2.08177740901439, 0.8197992870894542
18.0, 4.96003, 0.36384, 1.20551, 0.2999999233199902, 0.470645, -0.930276962035955, 0.6936393967030468
19.0, 5.00126, 0.669265, 1.52455, 0.29999968432858387, 0.167452, -1.254991555930593, 0.28762873200641703
20.0, 4.99004, 0.970105, 1.54041, 0.30000048372900273, -0.135741, 1.1422783614542475, -0.2353641042302216
21.0, 5.0, 1.11295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
22.0, 5.0, 1.41295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
23.0, 5.0, 1.71295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
24.0, 5.0, 2.01295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
25.0, 5.0, 2.31295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
26.0, 5.0, 2.61295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
27.0, 5.0, 2.91295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
28.0, 5.0, 3.21295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
29.0, 5.0, 3.51295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
30.0, 5.0, 3.81295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
31.0, 5.0, 4.11295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
32.0, 5.0, 4.41295, 1.5708, 0.3, 0.0, -81672.54252333386, 0.0
33.0, 5.0, 4.71175, 1.5708, 0.289516, 0.0, -78818.35940395175, 0.0
34.0, 5.0, 4.94123, 1.5708, 0.140206, 0.0, -38169.93499008849, 0.0
35.0, 5.0, 4.9995, 1.5708, 0.00587909, 0.0, -1600.5340934116896, 0.0
