Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,1,1,0,0,0,0,0
0.05,1.00002,1.00007,1.24905,0.00140191,0.00420573,0,0.00443323
0.1,1.00019,1.00056,1.24905,0.00560764,0.0168229,0,0.0177329
0.15,1.00063,1.00189,1.24905,0.0126172,0.0378516,0,0.0398991
0.2,1.00148,1.00445,1.24905,0.0212762,0.0638285,0,0.0672811
0.25,1.00271,1.00814,1.24905,0.0274913,0.082474,0,0.0869353
0.3,1.00419,1.01256,1.24905,0.0309027,0.0927081,0,0.0977229
0.35,1.00576,1.01727,1.24905,0.0316228,0.0948683,0,0.1
0.4,1.00734,1.02202,1.24905,0.0316228,0.0948683,0,0.1
0.45,1.00892,1.02676,1.24905,0.0316228,0.0948683,0,0.1
0.5,1.0105,1.0315,1.24905,0.0316228,0.0948683,0,0.1
0.55,1.01208,1.03625,1.24905,0.0316228,0.0948683,0,0.1
0.6,1.01366,1.04099,1.24905,0.0316228,0.0948683,0,0.1
0.65,1.01524,1.04573,1.24905,0.0316228,0.0948683,0,0.1
0.7,1.01683,1.05048,1.24905,0.0316228,0.0948683,0,0.1
0.75,1.01841,1.05522,1.24905,0.0316228,0.0948683,0,0.1
0.8,1.01999,1.05996,1.24905,0.0316228,0.0948683,0,0.1
0.85,1.02157,1.06471,1.24905,0.0316228,0.0948683,0,0.1
0.9,1.02315,1.06945,1.24905,0.0316228,0.0948683,0,0.1
0.95,1.02473,1.07419,1.24905,0.0316228,0.0948683,0,0.1
1,1.02631,1.07894,1.24905,0.0316228,0.0948683,0,0.1
1.05,1.02789,1.08368,1.24905,0.0316228,0.0948683,0,0.1
1.1,1.02948,1.08843,1.24905,0.0316228,0.0948683,0,0.1
1.15,1.03106,1.09317,1.24905,0.0316228,0.0948683,0,0.1
1.2,1.03264,1.09791,1.24905,0.0316228,0.0948683,0,0.1
1.25,1.03422,1.10266,1.24905,0.0316228,0.0948683,0,0.1
1.3,1.0358,1.1074,1.24905,0.0316228,0.0948683,0,0.1
1.35,1.03738,1.11214,1.24905,0.0316228,0.0948683,0,0.1
1.4,1.03896,1.11689,1.24905,0.0316228,0.0948683,0,0.1
1.45,1.04054,1.12163,1.24905,0.0316228,0.0948683,0,0.1
1.5,1.04212,1.12637,1.24905,0.0316228,0.0948683,0,0.1
1.55,1.04371,1.13112,1.24905,0.0316228,0.0948683,0,0.1
1.6,1.04529,1.13586,1.24905,0.0316228,0.0948683,0,0.1
1.65,1.04687,1.1406,1.24905,0.0316228,0.0948683,0,0.1
1.7,1.04845,1.14535,1.24905,0.0316228,0.0948683,0,0.1
1.75,1.05003,1.15009,1.24905,0.0316228,0.0948683,0,0.1
1.8,1.05161,1.15483,1.24905,0.0316228,0.0948683,0,0.1
1.85,1.05319,1.15958,1.24905,0.0316228,0.0948683,0,0.1
1.9,1.05477,1.16432,1.24905,0.0316228,0.0948683,0,0.1
1.95,1.05635,1.16906,1.24905,0.0316228,0.0948683,0,0.1
2,1.05794,1.17381,1.24905,0.0316228,0.0948683,0,0.1
2.05,1.05952,1.17855,1.24905,0.0316228,0.0948683,0,0.1
2.1,1.0611,1.18329,1.24905,0.0316228,0.0948683,0,0.1
2.15,1.06268,1.18804,1.24905,0.0316228,0.0948683,0,0.1
2.2,1.06426,1.19278,1.24905,0.0316228,0.0948683,0,0.1
2.25,1.06584,1.19752,1.24905,0.0316228,0.0948683,0,0.1
2.3,1.06742,1.20227,1.24905,0.0316228,0.0948683,0,0.1
2.35,1.069,1.20701,1.24905,0.0316228,0.0948683,0,0.1
2.4,1.07058,1.21175,1.24905,0.0316228,0.0948683,0,0.1
2.45,1.07217,1.2165,1.24905,0.0316228,0.0948683,0,0.1
2.5,1.07375,1.22124,1.24905,0.0316228,0.0948683,0,0.1
2.55,1.07533,1.22598,1.24905,0.0316228,0.0948683,0,0.1
2.6,1.07691,1.23073,1.24905,0.0316228,0.0948683,0,0.1
2.65,1.07849,1.23547,1.24905,0.0316228,0.0948683,0,0.1
2.7,1.08007,1.24021,1.24905,0.0316228,0.0948683,0,0.1
2.75,1.08165,1.24496,1.24905,0.0316228,0.0948683,0,0.1
2.8,1.08323,1.2497,1.24905,0.0316228,0.0948683,0,0.1
2.85,1.08481,1.25444,1.24905,0.0316228,0.0948683,0,0.1
2.9,1.0864,1.25919,1.24905,0.0316228,0.0948683,0,0.1
2.95,1.08798,1.26393,1.24905,0.0316228,0.0948683,0,0.1
3,1.08956,1.26867,1.24905,0.0316228,0.0948683,0,0.1
3.05,1.09114,1.27342,1.24905,0.0316228,0.0948683,0,0.1
3.1,1.09272,1.27816,1.24905,0.0316228,0.0948683,0,0.1
3.15,1.0943,1.28291,1.24905,0.0316228,0.0948683,0,0.1
3.2,1.09588,1.28765,1.24905,0.0316228,0.0948683,0,0.1
3.25,1.09746,1.29239,1.24905,0.0316228,0.0948683,0,0.1
3.3,1.09905,1.29714,1.24905,0.0316228,0.0948683,0,0.1
3.35,1.10063,1.30188,1.24905,0.0316228,0.0948683,0,0.1
3.4,1.10221,1.30662,1.24905,0.0316228,0.0948683,0,0.1
3.45,1.10379,1.31137,1.24905,0.0316228,0.0948683,0,0.1
3.5,1.10537,1.31611,1.24905,0.0316228,0.0948683,0,0.1
3.55,1.10695,1.32085,1.24905,0.0316228,0.0948683,0,0.1
3.6,1.10853,1.3256,1.24905,0.0316228,0.0948683,0,0.1
3.65,1.11011,1.33034,1.24905,0.0316228,0.0948683,0,0.1
3.7,1.11169,1.33508,1.24905,0.0316228,0.0948683,0,0.1
3.75,1.11328,1.33983,1.24905,0.0316228,0.0948683,0,0.1
3.8,1.11486,1.34457,1.24905,0.0316228,0.0948683,0,0.1
3.85,1.11644,1.34931,1.24905,0.0316228,0.0948683,0,0.1
3.9,1.11802,1.35406,1.24905,0.0316228,0.0948683,0,0.1
3.95,1.1196,1.3588,1.24905,0.0316228,0.0948683,0,0.1
4,1.12118,1.36354,1.24905,0.0316228,0.0948683,0,0.1
4.05,1.12276,1.36829,1.24905,0.0316228,0.0948683,0,0.1
4.1,1.12434,1.37303,1.24905,0.0316228,0.0948683,0,0.1
4.15,1.12592,1.37777,1.24905,0.0316228,0.0948683,0,0.1
4.2,1.12751,1.38252,1.24905,0.0316228,0.0948683,0,0.1
4.25,1.12909,1.38726,1.24905,0.0316228,0.0948683,0,0.1
4.3,1.13067,1.392,1.24905,0.0316228,0.0948683,0,0.1
4.35,1.13225,1.39675,1.24905,0.0316228,0.0948683,0,0.1
4.4,1.13383,1.40149,1.24905,0.0316228,0.0948683,0,0.1
4.45,1.13541,1.40623,1.24905,0.0316228,0.0948683,0,0.1
4.5,1.13699,1.41098,1.24905,0.0316228,0.0948683,0,0.1
4.55,1.13857,1.41572,1.24905,0.0316228,0.0948683,0,0.1
4.6,1.14015,1.42046,1.24905,0.0316228,0.0948683,0,0.1
4.65,1.14174,1.42521,1.24905,0.0316228,0.0948683,0,0.1
4.7,1.14332,1.42995,1.24905,0.0316228,0.0948683,0,0.1
4.75,1.1449,1.43469,1.24905,0.0316228,0.0948683,0,0.1
4.8,1.14648,1.43944,1.24905,0.0316228,0.0948683,0,0.1
4.85,1.14806,1.44418,1.24905,0.0316228,0.0948683,0,0.1
4.9,1.14964,1.44892,1.24905,0.0316228,0.0948683,0,0.1
4.95,1.15122,1.45367,1.24905,0.0316228,0.0948683,0,0.1
5,1.1528,1.45841,1.24905,0.0316228,0.0948683,0,0.1
5.05,1.15439,1.46316,1.24905,0.0316228,0.0948683,0,0.1
5.1,1.15597,1.4679,1.24905,0.0316228,0.0948683,0,0.1
5.15,1.15755,1.47264,1.24905,0.0316228,0.0948683,0,0.1
