Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,0,0,0,0,0,0,0
1,0.0295549,0,0,0.0886646,0,0,0.0886646
2,0.187656,0,0,0.198637,0,0,0.198637
3,0.3876,0,0,0.2,0,0,0.2
4,0.5876,0,0,0.2,0,0,0.2
5,0.7876,0,0,0.2,0,0,0.2
6,0.9876,0,0,0.2,0,0,0.2
7,1.1876,0,0,0.2,0,0,0.2
8,1.3876,0,0,0.2,0,0,0.2
9,1.5876,0,0,0.2,0,0,0.2
10,1.7876,0,0,0.2,0,0,0.2
11,1.9876,0,0,0.2,0,0,0.2
12,2.1876,0,0,0.2,0,0,0.2
13,2.3876,0,0,0.2,0,0,0.2
14,2.5876,0,0,0.2,0,0,0.2
15,2.7876,0,0,0.2,0,0,0.2
16,2.9876,0,0,0.2,0,0,0.2
17,3.1876,0,0,0.2,0,0,0.2
18,3.3876,0,0,0.2,0,0,0.2
19,3.5876,0,0,0.2,0,0,0.2
20,3.7876,0,0,0.2,0,0,0.2
21,3.9876,0,0,0.2,0,0,0.2
22,4.1876,0,0,0.200001,0,0,0.200001
23,4.38696,0.00449029,0.0673762,0.199546,0.013465,0.134752,0.2
24,4.58415,0.035748,0.269505,0.192781,0.0532508,0.269505,0.2
25,4.76536,0.118129,0.606386,0.164343,0.11398,0.404257,0.2
26,4.90666,0.265327,1.03178,0.102658,0.171643,0.381139,0.2
27,4.97661,0.456534,1.34554,0.0446705,0.194948,0.246387,0.2
28,4.99726,0.656985,1.52455,0.00924502,0.199786,0.111635,0.2
29,4.99536,0.857287,1.56881,0.000396595,0.2,-0.0231176,0.2
30,5,1.01295,1.5708,4.03038e-15,0.2,0,0.2
31,5,1.21295,1.5708,4.03038e-15,0.2,0,0.2
32,5,1.41295,1.5708,4.03038e-15,0.2,0,0.2
33,5,1.61295,1.5708,4.03038e-15,0.2,0,0.2
34,5,1.81295,1.5708,4.03038e-15,0.2,0,0.2
35,5,2.01295,1.5708,4.03038e-15,0.2,0,0.2
36,5,2.21295,1.5708,4.03038e-15,0.2,0,0.2
37,5,2.41295,1.5708,4.03038e-15,0.2,0,0.2
38,5,2.61295,1.5708,4.03038e-15,0.2,0,0.2
39,5,2.81295,1.5708,4.03038e-15,0.2,0,0.2
40,5,3.01295,1.5708,4.03038e-15,0.2,0,0.2
41,5,3.21295,1.5708,4.03038e-15,0.2,0,0.2
42,5,3.41295,1.5708,4.03038e-15,0.2,0,0.2
43,5,3.61295,1.5708,4.03038e-15,0.2,0,0.2
44,5,3.81295,1.5708,4.03038e-15,0.2,0,0.2
45,5,4.01295,1.5708,4.03038e-15,0.2,0,0.2
46,5,4.21295,1.5708,4.03038e-15,0.2,0,0.2
47,5,4.41295,1.5708,4.03038e-15,0.2,0,0.2
48,5,4.61295,1.5708,4.03038e-15,0.2,0,0.2
49,5,4.81289,1.5708,4.00167e-15,0.198575,0,0.198575
50,5,4.97069,1.5708,1.77689e-15,0.0881746,0,0.0881746
51,5,5,1.5708,0,0,0,0
