Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,0,0,0,0,0,0,0
1,0.0489864,0,0,0.146959,0,0,0.146959
2,0.358899,0,0,0.445573,0,0,0.445573
3,0.847859,0,0,0.5,0,0,0.5
4,1.34786,0,0,0.5,0,0,0.5
5,1.84786,0,0,0.5,0,0,0.5
6,2.34786,0,0,0.5,0,0,0.5
7,2.84786,0,0,0.5,0,0,0.5
8,3.34786,0,0,0.5,0,0,0.5
9,3.8279,0,0,0.419234,0,0,0.419234
10,4.12097,0,0,0.193093,0,0,0.193093
11,4.36026,0.00291959,0.0505627,0.173036,0.00875663,0.101125,0.173257
12,4.53215,0.0232928,0.202251,0.169726,0.034803,0.202251,0.173257
13,4.69616,0.0776847,0.455064,0.155626,0.0761501,0.303376,0.173257
14,4.84023,0.177441,0.808653,0.11963,0.125327,0.392612,0.173257
15,4.93526,0.326252,1.1507,0.0706624,0.158193,0.291486,0.173257
16,4.98287,0.494744,1.39163,0.0308767,0.170484,0.190361,0.173257
17,4.99752,0.668167,1.53142,0.00681971,0.173123,0.0892356,0.173257
18,4.99661,0.841594,1.5701,0.000121101,0.173257,-0.0118897,0.173257
19,5,1.0352,1.5708,6.45297e-15,0.320217,0,0.320217
20,5,1.46851,1.5708,1.00409e-14,0.498263,0,0.498263
21,5,1.96845,1.5708,1.0076e-14,0.5,0,0.5
22,5,2.46845,1.5708,1.0076e-14,0.5,0,0.5
23,5,2.96845,1.5708,1.0076e-14,0.5,0,0.5
24,5,3.46845,1.5708,1.0076e-14,0.5,0,0.5
25,5,3.96845,1.5708,1.0076e-14,0.5,0,0.5
26,5,4.46776,1.5708,9.90369e-15,0.491452,0,0.491452
27,5,4.87478,1.5708,5.51367e-15,0.273605,0,0.273605
28,5,4.99757,1.5708,3.99721e-16,0.0198354,0,0.0198354
