Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,0,0,0,0,0,0,0
1,0.0489864,0,0,0.146959,0,0,0.146959
2,0.358899,0,0,0.445573,0,0,0.445573
3,0.847859,0,0,0.5,0,0,0.5
4,1.34786,0,0,0.5,0,0,0.5
5,1.84786,0,0,0.5,0,0,0.5
6,2.34786,0,0,0.5,0,0,0.5
7,2.82762,0,0,0.418485,0,0,0.418485
8,3.13153,0,0,0.224627,0,0,0.224627
9,3.39665,0.00115662,0.0159283,0.217819,0.00346978,0.0318566,0.217847
10,3.61433,0.00925045,0.0637131,0.217405,0.0138703,0.0637131,0.217847
11,3.83101,0.0311835,0.143355,0.215612,0.0311225,0.0955697,0.217847
12,4.04455,0.0736823,0.254853,0.21081,0.0549197,0.127426,0.217847
13,4.2509,0.142951,0.398207,0.200802,0.0844736,0.159283,0.217847
14,4.44356,0.244028,0.573418,0.183002,0.118183,0.191139,0.217847
15,4.61343,0.379797,0.780486,0.154796,0.153282,0.222996,0.217847
16,4.75113,0.550339,0.988939,0.119723,0.181999,0.192541,0.217847
17,4.85333,0.743863,1.16555,0.0858847,0.200202,0.160684,0.217847
18,4.92313,0.950966,1.31031,0.056107,0.210497,0.128828,0.217847
19,4.96568,1.16508,1.42321,0.0320353,0.215478,0.096971,0.217847
20,4.98727,1.38211,1.50425,0.0144863,0.217365,0.0651145,0.217847
21,4.99468,1.59995,1.55344,0.00378172,0.217814,0.0332579,0.217847
22,4.99484,1.81782,1.57077,6.71435e-06,0.217847,0.00140133,0.217847
23,5,2.08802,1.5708,8.39585e-15,0.364686,0,0.364686
24,5,2.54474,1.5708,1.15111e-14,0.5,0,0.5
25,5,3.04474,1.5708,1.15111e-14,0.5,0,0.5
26,5,3.54474,1.5708,1.15111e-14,0.5,0,0.5
27,5,4.04474,1.5708,1.15111e-14,0.5,0,0.5
28,5,4.54474,1.5708,1.15111e-14,0.5,0,0.5
29,5,5.04474,1.5708,1.15111e-14,0.5,0,0.5
30,5,5.54474,1.5708,1.15111e-14,0.5,0,0.5
31,5,6.04474,1.5708,1.15111e-14,0.5,0,0.5
32,5,6.54474,1.5708,1.15111e-14,0.5,0,0.5
33,5,7.04474,1.5708,1.15111e-14,0.5,0,0.5
34,5,7.54474,1.5708,1.15111e-14,0.5,0,0.5
35,5,8.04474,1.5708,1.15111e-14,0.5,0,0.5
36,5,8.54474,1.5708,1.15111e-14,0.5,0,0.5
37,5,9.04474,1.5708,1.15111e-14,0.5,0,0.5
38,5,9.54175,1.5708,1.09865e-14,0.477214,0,0.477214
39,5,9.91218,1.5708,4.99287e-15,0.216873,0,0.216873
40,5,9.99951,1.5708,1.561e-16,0.00678043,0,0.00678043
