Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,0,0,0,0,0,0,0
1,-6.72694e-19,0.0295549,1.5708,-2.01808e-18,0.0886646,0,0.0886646
2,-4.92143e-18,0.216223,1.5708,-6.09845e-18,0.267936,0,0.267936
3,-1.16034e-17,0.509796,1.5708,-6.82826e-18,0.3,0,0.3
4,-1.84316e-17,0.809796,1.5708,-6.82826e-18,0.3,0,0.3
5,-2.52599e-17,1.1098,1.5708,-6.82826e-18,0.3,0,0.3
6,-3.20882e-17,1.4098,1.5708,-6.82826e-18,0.3,0,0.3
7,-3.89164e-17,1.7098,1.5708,-6.82826e-18,0.3,0,0.3
8,-4.57447e-17,2.0098,1.5708,-6.82826e-18,0.3,0,0.3
9,-5.2619e-17,2.31182,1.5708,-7.16612e-18,0.314844,0,0.314844
10,-0.0151348,2.48636,1.72239,-0.0453049,0.296559,0.303193,0.3
11,-0.118129,2.76536,2.17718,-0.17097,0.246514,0.606386,0.3
12,-0.36384,2.96003,2.7763,-0.280206,0.107166,0.470645,0.3
13,-0.669265,3.00126,3.09535,-0.299679,0.0138675,0.167452,0.3
14,-0.970105,2.99004,3.11121,-0.299862,0.00911434,-0.135741,0.3
15,-1.11295,3,3.14159,-0.3,0,0,0.3
16,-1.41295,3,3.14159,-0.3,0,0,0.3
17,-1.71295,3,3.14159,-0.3,0,0,0.3
18,-2.01295,3,3.14159,-0.3,0,0,0.3
19,-2.31295,3,3.14159,-0.3,0,0,0.3
20,-2.61295,3,3.14159,-0.3,0,0,0.3
21,-2.91295,3,3.14159,-0.3,0,0,0.3
22,-3.21295,3,3.14159,-0.3,0,0,0.3
23,-3.51295,3,3.14159,-0.3,0,0,0.3
24,-3.81295,3,3.14159,-0.3,0,0,0.3
25,-4.11295,3,3.14159,-0.3,0,0,0.3
26,-4.41295,3,3.14159,-0.3,0,0,0.3
27,-4.71295,3,3.14159,-0.3,0,0,0.3
28,-5.01295,3,3.14159,-0.3,0,0,0.3
29,-5.31295,3,3.14159,-0.3,0,0,0.3
30,-5.61295,3,3.14159,-0.3,0,0,0.3
31,-5.91295,3,3.14159,-0.3,0,0,0.3
32,-6.21297,3,3.14159,-0.300661,0,0,0.300661
33,-6.48636,2.98487,3.29319,-0.296559,-0.0453049,0.303193,0.3
34,-6.76536,2.88187,3.74798,-0.246514,-0.17097,0.606386,0.3
35,-6.96003,2.63616,4.3471,-0.107166,-0.280206,0.470645,0.3
36,-7.00126,2.33073,4.66615,-0.0138675,-0.299679,0.167452,0.3
37,-6.99004,2.02989,4.682,-0.00911434,-0.299862,-0.135741,0.3
38,-7,1.88705,-1.5708,0,-0.3,0,0.3
39,-7,1.58705,-1.5708,0,-0.3,0,0.3
40,-7,1.28705,-1.5708,0,-0.3,0,0.3
41,-7,0.987046,-1.5708,0,-0.3,0,0.3
42,-7,0.687046,-1.5708,0,-0.3,0,0.3
43,-7,0.387046,-1.5708,0,-0.3,0,0.3
44,-7,0.0870464,-1.5708,0,-0.3,0,0.3
45,-7,-0.212973,-1.5708,0,-0.300661,0,0.300661
46,-6.98487,-0.486358,-1.4192,0.0453049,-0.296559,0.303193,0.3
47,-6.88187,-0.765357,-0.964411,0.17097,-0.246514,0.606386,0.3
48,-6.63616,-0.960034,-0.36529,0.280206,-0.107166,0.470645,0.3
49,-6.33073,-1.00126,-0.0462416,0.299679,-0.0138675,0.167452,0.3
50,-6.02989,-0.990037,-0.0303858,0.299862,-0.00911434,-0.135741,0.3
51,-5.88705,-1,0,0.3,0,0,0.3
52,-5.58705,-1,0,0.3,0,0,0.3
53,-5.28705,-1,0,0.3,0,0,0.3
54,-4.98705,-1,0,0.3,0,0,0.3
55,-4.68705,-1,0,0.3,0,0,0.3
56,-4.38705,-1,0,0.3,0,0,0.3
57,-4.08705,-1,0,0.3,0,0,0.3
58,-3.78705,-1,0,0.3,0,0,0.3
59,-3.48705,-1,0,0.3,0,0,0.3
60,-3.18705,-1,0,0.3,0,0,0.3
61,-2.88705,-1,0,0.3,0,0,0.3
62,-2.58705,-1,0,0.3,0,0,0.3
63,-2.28705,-1,0,0.3,0,0,0.3
64,-1.98705,-1,0,0.3,0,0,0.3
65,-1.68705,-1,0,0.3,0,0,0.3
66,-1.38705,-1,0,0.3,0,0,0.3
67,-1.08705,-1,0,0.3,0,0,0.3
68,-0.787046,-1,0,0.3,0,0,0.3
69,-0.487046,-1,0,0.3,0,0,0.3
70,-0.182645,-0.95655,0.440567,0.271353,0.127936,0.881135,0.3
71,0.0323433,-0.709065,1.37282,0.0590066,0.29414,0.590672,0.3
72,0.00447987,-0.397499,1.52292,0.014357,0.299656,-0.290463,0.3
73,0,-0.228231,1.5708,0,0.272499,0,0.272499
74,0,0,1.5708,0,0,0,0
75,0,0,1.5708,0,0,0,0
