time, x, y, theta, v_rear, w_rear, v_front, delta
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, -6.72694e-19, 0.0295549, 1.5708, 0.0886646, 0.0, 0.0886646, 0.0
2.0, -4.92143e-18, 0.216223, 1.5708, 0.267936, 0.0, 0.267936, 0.0
3.0, -1.16034e-17, 0.509796, 1.5708, 0.3, 0.0, 0.3, 0.0
4.0, -1.84316e-17, 0.809796, 1.5708, 0.3, 0.0, 0.3, 0.0
5.0, -2.52599e-17, 1.1098, 1.5708, 0.3, 0.0, 0.3, 0.0
6.0, -3.20882e-17, 1.4098, 1.5708, 0.3, 0.0, 0.3, 0.0
7.0, -3.89164e-17, 1.7098, 1.5708, 0.3, 0.0, 0.3, 0.0
8.0, -4.57447e-17, 2.0098, 1.5708, 0.3, 0.0, 0.3, 0.0
9.0, -5.2619e-17, 2.31182, 1.5708, 0.314844, 0.0, 0.314844, 0.0
10.0, -0.0151348, 2.48636, 1.72239, 0.29999962407478115, 0.303193, 0.34032600034445515, 0.4917527264032357
11.0, -0.118129, 2.76536, 2.17718, 0.2999998218266138, 0.606386, 0.43964524489385354, 0.8197992870894542
12.0, -0.36384, 2.96003, 2.7763, 0.2999999233199902, 0.470645, 0.3901553415287589, 0.6936393967030468
13.0, -0.669265, 3.00126, 3.09535, 0.29999968432858387, 0.167452, 0.31285187389153285, 0.28762873200641703
14.0, -0.970105, 2.99004, 3.11121, 0.30000048372900273, -0.135741, 0.30850615332192083, -0.2353641042302216
15.0, -1.11295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
16.0, -1.41295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
17.0, -1.71295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
18.0, -2.01295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
19.0, -2.31295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
20.0, -2.61295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
21.0, -2.91295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
22.0, -3.21295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
23.0, -3.51295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
24.0, -3.81295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
25.0, -4.11295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
26.0, -4.41295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
27.0, -4.71295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
28.0, -5.01295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
29.0, -5.31295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
30.0, -5.61295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
31.0, -5.91295, 3.0, 3.14159, 0.3, 0.0, 0.3, 0.0
32.0, -6.21297, 3.0, 3.14159, 0.300661, 0.0, 0.300661, 0.0
33.0, -6.48636, 2.98487, 3.29319, 0.29999962407478115, 0.303193, 0.34032600034445515, 0.4917527264032357
34.0, -6.76536, 2.88187, 3.74798, 0.2999998218266138, 0.606386, 0.43964524489385354, 0.8197992870894542
35.0, -6.96003, 2.63616, 4.3471, 0.2999999233199902, 0.470645, 0.3901553415287589, 0.6936393967030468
36.0, -7.00126, 2.33073, 4.66615, 0.29999968432858387, 0.167452, 0.31285187389153285, 0.28762873200641703
37.0, -6.99004, 2.02989, 4.682, 0.30000048372900273, -0.135741, 0.30850615332192083, -0.2353641042302216
38.0, -7.0, 1.88705, -1.5708, 0.3, 0.0, 0.3, 0.0
39.0, -7.0, 1.58705, -1.5708, 0.3, 0.0, 0.3, 0.0
40.0, -7.0, 1.28705, -1.5708, 0.3, 0.0, 0.3, 0.0
41.0, -7.0, 0.987046, -1.5708, 0.3, 0.0, 0.3, 0.0
42.0, -7.0, 0.687046, -1.5708, 0.3, 0.0, 0.3, 0.0
43.0, -7.0, 0.387046, -1.5708, 0.3, 0.0, 0.3, 0.0
44.0, -7.0, 0.0870464, -1.5708, 0.3, 0.0, 0.3, 0.0
45.0, -7.0, -0.212973, -1.5708, 0.300661, 0.0, 0.300661, 0.0
46.0, -6.98487, -0.486358, -1.4192, 0.29999962407478115, 0.303193, 0.34032600034445515, 0.4917527264032357
47.0, -6.88187, -0.765357, -0.964411, 0.2999998218266138, 0.606386, 0.43964524489385354, 0.8197992870894542
48.0, -6.63616, -0.960034, -0.36529, 0.2999999233199902, 0.470645, 0.3901553415287589, 0.6936393967030468
