Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,0,0,0,0,0,0,0
1,9.83563e-16,0.0489864,1.5708,2.95069e-15,0.146959,0,0.146959
2,7.20609e-15,0.358899,1.5708,8.94636e-15,0.445573,0,0.445573
3,1.70236e-14,0.847859,1.5708,1.00392e-14,0.5,0,0.5
4,2.70627e-14,1.34786,1.5708,1.00392e-14,0.5,0,0.5
5,3.71019e-14,1.84786,1.5708,1.00392e-14,0.5,0,0.5
6,4.7141e-14,2.34786,1.5708,1.00392e-14,0.5,0,0.5
7,5.71802e-14,2.84786,1.5708,1.00392e-14,0.5,0,0.5
8,6.72193e-14,3.34786,1.5708,1.00392e-14,0.5,0,0.5
9,7.68577e-14,3.8279,1.5708,8.41751e-15,0.419234,0,0.419234
10,8.2742e-14,4.12097,1.5708,3.87698e-15,0.193093,0,0.193093
11,-0.00291959,4.36026,1.62136,-0.00875663,0.173036,0.101125,0.173257
12,-0.0232928,4.53215,1.77305,-0.034803,0.169726,0.202251,0.173257
13,-0.0776847,4.69616,2.02586,-0.0761501,0.155626,0.303376,0.173257
14,-0.177441,4.84023,2.37945,-0.125327,0.11963,0.392612,0.173257
15,-0.326252,4.93526,2.7215,-0.158193,0.0706624,0.291486,0.173257
16,-0.494744,4.98287,2.96242,-0.170484,0.0308767,0.190361,0.173257
17,-0.668167,4.99752,3.10222,-0.173123,0.00681971,0.0892356,0.173257
18,-0.841594,4.99661,3.14089,-0.173257,0.000121101,-0.0118897,0.173257
19,-1.0352,5,3.14159,-0.320217,0,0,0.320217
20,-1.46851,5,3.14159,-0.498263,0,0,0.498263
21,-1.96845,5,3.14159,-0.5,0,0,0.5
22,-2.46845,5,3.14159,-0.5,0,0,0.5
23,-2.96845,5,3.14159,-0.5,0,0,0.5
24,-3.46845,5,3.14159,-0.5,0,0,0.5
25,-3.92199,5,3.14159,-0.358134,0,0,0.358134
26,-4.16508,5,3.14159,-0.175598,0,0,0.175598
27,-4.36026,4.99708,3.19216,-0.173036,-0.00875663,0.101125,0.173257
28,-4.53215,4.97671,3.34384,-0.169726,-0.034803,0.202251,0.173257
29,-4.69616,4.92232,3.59666,-0.155626,-0.0761501,0.303376,0.173257
30,-4.84023,4.82256,3.95025,-0.11963,-0.125327,0.392612,0.173257
31,-4.93526,4.67375,4.2923,-0.0706624,-0.158193,0.291486,0.173257
32,-4.98287,4.50526,4.53322,-0.0308767,-0.170484,0.190361,0.173257
33,-4.99752,4.33183,4.67302,-0.00681971,-0.173123,0.0892356,0.173257
34,-4.99661,4.15841,4.71169,-0.000121101,-0.173257,-0.0118897,0.173257
35,-5,3.9648,-1.5708,6.38505e-15,-0.320217,0,0.320217
36,-5,3.53149,-1.5708,9.93525e-15,-0.498263,0,0.498263
37,-5,3.03155,-1.5708,9.96989e-15,-0.5,0,0.5
38,-5,2.53155,-1.5708,9.96989e-15,-0.5,0,0.5
39,-5,2.03155,-1.5708,9.96989e-15,-0.5,0,0.5
40,-5,1.53155,-1.5708,9.96989e-15,-0.5,0,0.5
41,-5,1.03155,-1.5708,9.96989e-15,-0.5,0,0.5
42,-5,0.532239,-1.5708,9.79944e-15,-0.491452,0,0.491452
43,-5,0.125217,-1.5708,5.45563e-15,-0.273605,0,0.273605
44,-5,0.00242908,-1.5708,3.95513e-16,-0.0198354,0,0.0198354
